,1
420,期 
421,期待 
422,期盼 
423,期望 
424,祈盼 
425,起敬 
426,企 
427,企慕 
428,企盼 
429,企望 
430,器重 
431,牵肠挂肚 
432,牵挂 
433,千恩万谢 
434,敲边鼓 
435,瞧得起 
436,瞧得上眼 
437,翘盼 
438,翘企 
439,翘望 
440,钦 
441,钦佩 
442,亲热 
443,亲热亲热 
444,轻快 
445,倾慕 
446,倾向 
447,倾心 
448,情有独钟 
449,情愿 
450,庆 
451,庆贺 
452,庆幸 
453,庆祝 
454,圈定 
455,饶有兴趣 
456,热心 
457,人心大快 
458,认 
459,认可 
460,认了 
461,认命 
462,日有所思 
463,融融 
464,容 
465,容许 
466,如痴如狂 
467,如痴如醉 
468,如获至宝 
469,如意 
470,如愿以偿 
471,如醉如痴 
472,入迷 
473,入魔 
474,入神 
475,赏 
476,赏识 
477,赏赉 
478,尚 
479,烧高香 
480,奢望 
481,申谢 
482,伸张 
483,神魂颠倒 
484,神往 
485,甚感欢慰 
486,盛赞 
487,施礼 
488,十分满意 
489,示好 
490,示同意 
491,示喜 
492,释放善意 
493,手舞足蹈 
494,首肯 
495,守候 
496,守岁 
497,舒畅 
498,舒服 
499,舒坦 
500,属望 
501,属意 
502,树碑立传 
503,爽 
504,爽快 
505,爽心 
506,爽怡 
507,说好话 
508,说妥 
509,说项 
510,思 
511,思恋 
512,思慕 
513,思念 
514,松心 
515,颂 
516,颂扬 
517,颂赞 
518,送往迎来 
519,随心 
520,遂心 
521,遂意 
522,抬爱 
523,抬举 
524,贪 
525,贪恋 
526,贪图 
527,叹 
528,叹服 
529,叹赏 
530,叹为观止 
531,叹羡 
532,陶然 
533,陶陶 
534,陶醉 
535,特许 
536,疼 
537,疼爱 
538,疼惜 
539,提倡 
540,甜丝丝 
541,甜滋滋 
542,挑三拣四 
543,挑眼 
544,通过 
545,通融 
546,同意 
547,吐口 
548,吐气扬眉 
549,推 
550,推崇 
551,推戴 
552,推许 
553,推重 
554,推尊 
555,望 
556,望眼欲穿 
557,忘乎所以 
558,妄想 
559,维护 
560,畏 
561,温存 
562,问心无愧 
563,无愧 
564,嘻嘻哈哈 
565,稀罕 
566,希 
567,希罕 
568,希冀 
569,希图 
570,希望 
571,惜 
572,喜 
573,喜爱 
574,喜不自禁 
575,喜不自胜 
576,喜冲冲 
577,喜出望外 
578,喜好 
579,喜欢 
580,喜乐 
581,喜眉笑眼 
582,喜气洋洋 
583,喜上眉梢 
584,喜上心头 
585,喜兴 
586,喜形于色 
587,喜幸 
588,喜洋洋 
589,喜吟吟 
590,喜盈盈 
591,喜悦 
592,喜滋滋 
593,喜孜孜 
594,显扬 
595,羡 
596,羡慕 
597,相中 
598,想 
599,想念 
600,想望 
601,向 
602,向 ... 倾斜 
603,向往 
604,向着 
605,销魂 
606,消魂 
607,孝敬 
608,孝顺 
609,写意 
610,谢 
611,谢天谢地 
612,谢谢 
613,欣 
614,欣赏 
615,欣慰 
616,欣喜 
617,欣喜若狂 
618,欣羡 
619,欣幸 
620,忻 
621,心驰神往 
622,心荡神驰 
623,心甘 
624,心甘情愿 
625,心花怒放 
626,心旷神怡 
627,心满意足 
628,心疼 
629,心向 
630,心醉 
631,兴高采烈 
632,行礼 
633,需 
634,需要 
635,许 
636,许可 
637,轩然 
638,悬红 
639,悬赏 
640,眼馋 
641,眼红 
642,眼热 
643,艳羡 
644,扬眉吐气 
645,扬扬 
646,扬扬得意 
647,扬扬自得 
648,洋洋得意 
649,洋洋自得 
650,仰 
651,仰慕 
652,摇头摆尾 
653,摇头晃脑 
654,要 
655,夜有所梦 
656,一往情深 
657,揖 
658,依依不舍 
659,依允 
660,以期 
661,以求 
662,意欲 
663,溢美 
664,引颈企待 
665,引领 
666,应 
667,应承 
668,应下 
669,应许 
670,应允 
671,应准 
672,迎 
673,迎候 
674,迎接 
675,迎来 
676,迎迓 
677,拥 
678,拥戴 
679,拥护 
680,咏赞 
681,用 
682,用心良苦 
683,有心 
684,有意 
685,俞允 
686,愉 
687,愉快 
688,愉悦 
689,欲 
690,誉 
691,愿 
692,愿意 
693,跃跃欲试 
694,悦 
695,悦服 
696,允 
697,允许 
698,允准 
699,在乎 
700,在心 
701,在意 
702,赞 
703,赞成 
704,赞服 
705,赞美 
706,赞慕 
