,1
1706,物伤其类 
1707,惜 
1708,系 
1709,系念 
1710,戏侮 
1711,下不来台 
1712,下不了台 
1713,衔恨 
1714,衔冤 
1715,嫌 
1716,嫌恶 
1717,嫌弃 
1718,嫌厌 
1719,嫌憎 
1720,想不开 
1721,向 ... 问罪 
1722,向隅 
1723,向隅而泣 
1724,消沉 
1725,小看 
1726,小瞧 
1727,小视 
1728,笑骂 
1729,泄劲 
1730,泄气 
1731,心胆俱裂 
1732,心烦 
1733,心烦意乱 
1734,心寒 
1735,心灰意懒 
1736,心灰意冷 
1737,心急 
1738,心急火燎 
1739,心急如焚 
1740,心急如火 
1741,心焦 
1742,心焦如焚 
1743,心惊胆颤 
1744,心惊胆战 
1745,心惊肉跳 
1746,心里堵得慌 
1747,心情沉重 
1748,心如刀割 
1749,心如刀绞 
1750,心如死灰 
1751,心酸 
1752,心碎 
1753,心疼 
1754,心痛 
1755,心虚 
1756,心绪沉落 
1757,心有余悸 
1758,杏眼圆睁 
1759,羞 
1760,羞惭 
1761,羞答答 
1762,羞恶 
1763,羞窘 
1764,羞愧 
1765,羞怯 
1766,羞人 
1767,羞人答答 
1768,羞涩 
1769,羞羞答答 
1770,羞于 
1771,羞臊 
1772,羞赧 
1773,虚惊 
1774,嘘 
1775,恤 
1776,絮烦 
1777,悬 
1778,悬念 
1779,悬系 
1780,悬心 
1781,训斥 
1782,训戒 
1783,训诫 
1784,讶 
1785,讶然 
1786,讶然失色 
1787,讶异 
1788,厌 
1789,厌恶 
1790,厌烦 
1791,厌恨 
1792,厌倦 
1793,厌腻 
1794,厌气 
1795,厌弃 
1796,摇摆 
1797,要紧 
1798,一怒之下 
1799,一气之下 
1800,一怔 
1801,遗憾 
1802,疑 
1803,疑惑 
1804,疑忌 
1805,疑虑 
1806,疑虑重重 
1807,疑神疑鬼 
1808,抑郁 
1809,抑郁寡欢 
1810,意意思思 
1811,义愤 
1812,义愤填膺 
1813,异 
1814,阴郁 
1815,引咎 
1816,引咎自责 
1817,隐忧 
1818,幽忧 
1819,忧 
1820,忧愁 
1821,忧烦 
1822,忧愤 
1823,忧惧 
1824,忧虑 
1825,忧闷 
1826,忧伤 
1827,忧思 
1828,忧心 
1829,忧心如焚 
1830,忧心忡忡 
1831,忧郁 
1832,忧怨 
1833,忧悒 
1834,犹疑 
1835,犹豫 
1836,油煎火燎 
1837,游移 
1838,有愧 
1839,于心有愧 
1840,虞 
1841,郁 
1842,郁闷 
1843,郁郁不乐 
1844,郁郁寡欢 
1845,欲哭无泪 
1846,詟 
1847,原 
1848,原谅 
1849,原宥 
1850,怨 
1851,怨恨 
1852,怨悔 
1853,怨声载道 
1854,怨天尤人 
1855,在乎 
1856,糟心 
1857,责 
1858,责备 
1859,责斥 
1860,责怪 
1861,责骂 
1862,责难 
1863,责怨 
1864,憎 
1865,憎恶 
1866,憎恨 
1867,咋舌 
1868,炸 
1869,瞻前顾后 
1870,战兢兢 
1871,战战兢兢 
1872,张口结舌 
1873,找茬 
1874,找茬儿 
1875,找碴 
1876,找碴儿 
1877,找岔子 
1878,针砭 
1879,震 
1880,震惊 
1881,震怒 
1882,震悚 
1883,睁一眼闭一眼 
1884,睁一只眼闭一只眼 
1885,睁只眼闭只眼 
1886,怔 
1887,怔神儿 
1888,怔怔 
1889,怔住 
1890,怔忪 
1891,直眉瞪眼 
1892,指斥 
1893,指鸡骂狗 
1894,指桑骂槐 
1895,指责 
1896,指摘 
1897,置疑 
1898,置于脑后 
1899,置之不顾 
1900,置之不理 
1901,置之度外 
1902,置之脑后 
1903,质疑 
1904,滞呆 
1905,周恤 
1906,咒 
1907,咒骂 
1908,咒诅 
1909,抓瞎 
1910,椎心泣血 
1911,追悔 
1912,追悔莫及 
1913,着急 
1914,着忙 
1915,自暴自弃 
1916,自惭形秽 
1917,自咎 
1918,自疚 
1919,自馁 
1920,自怨自艾 
1921,自责 
1922,诅 
1923,诅骂 
1924,诅咒 
1925,左右两难 
1926,左右为难 
1927,做贼心虚 
1928,作难 
1929,作色 
1930,倥 
1931,讪讪 
1932,诃 
1933,诘 
1934,诟 
1935,诟病 
1936,诮 
1937,诶 
1938,谇 
1939,谪 
1940,矍 
1941,芴 
1942,菀 
1943,葸 
1944,奚落 
1945,奚幸 
1946,尴尬 
1947,挹 
1948,掎 
1949,掊 
1950,掊击 
1951,摭 
1952,撸 
1953,撺 
1954,叱 
1955,叱骂 
1956,叱责 
1957,哓 
1958,呲 
1959,啧有烦言 
1960,嗔 
1961,嗔斥 
1962,嗔怪 
1963,嗔怒 
1964,嗤之以鼻 
1965,嘀咕 
1966,噍 
1967,彷 
1968,彷徨 
1969,忏 
1970,忏悔 
1971,怃 
1972,怄 
1973,怄气 
1974,忡 
1975,怅 
1976,怅恨 
1977,怅然 
1978,怅然若失 
1979,怅怅 
1980,怅惘 
1981,怆 
1982,怆怳 
1983,怆恍 
1984,怆然 
1985,怆恻 
1986,忪 
1987,忸 
1988,忸怩 
1989,怵 
1990,怵然 
1991,怵头 
1992,怛 
1993,怏 
1994,怏然 
1995,怏然不悦 
1996,怏怏 
1997,怏怏不乐 
1998,怍 
1999,怫 
2000,怫然 
2001,怫然不悦 
2002,怫然作色 
2003,恸 
2004,恻 
2005,恻然 
2006,恻隐 
2007,恂 
2008,悚 
2009,悚然 
2010,悒 
2011,悒闷 
2012,悒郁 
2013,悒郁寡欢 
2014,悒悒不乐 
2015,悛 
2016,悻然 
2017,悻悻 
2018,悻悻然 
2019,惝恍 
2020,惘 
2021,惘然 
2022,惘然若失 
2023,惆 
2024,惆怅 
2025,愠 
2026,愠怒 
2027,愕 
2028,愕然 
2029,愣 
2030,愣神儿 
2031,愣怔 
2032,愣怔怔 
2033,愣住 
2034,惴 
2035,愀 
2036,慊 
2037,憷 
2038,憷头 
2039,懔 
2040,忝 
2041,闵 
2042,渎 
2043,宥 
2044,骞 
2045,娆 
2046,嬉笑怒骂 
2047,槁木死灰 
2048,殚 
2049,轸 
2050,戟指 
2051,腼腆 
2052,膈应 
2053,臊 
2054,恝置 
2055,恚 
2056,恚愤 
2057,恚恨 
2058,恚怒 
2059,恧 
2060,愍 
2061,憝 
2062,懑 
2063,瞠目结舌 
2064,瞠然 
2065,詈 
2066,詈骂 
2067,瘅 
2068,竦 
2069,矜 
2070,赧 
2071,赧然 
2072,赧颜 
2073,踟 
2074,踟躇 
2075,踟蹰 
2076,踟蹰不前 
2077,蹰 
2078,觖 
2079,觖望 
2080,訾议 
2081,黯然神伤 
2082,黯然销魂 
2083,威胁
2084,欺骗
